LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
75.756689,-44.054957,45827.5060,2936.60,3432.0787,2002051801001,555.08,3491.68,1
75.756626,-44.054475,45827.6039,2936.71,3432.1067,2002051801001,555.11,3491.81,1
75.756563,-44.053993,45827.7019,2936.66,3432.1347,2002051801001,555.14,3491.80,1
75.756500,-44.053511,45827.7998,2936.55,3432.1627,2002051801001,555.17,3491.71,1
75.756437,-44.053030,45827.8978,2936.41,3432.1908,2002051801001,555.20,3491.60,1
75.756374,-44.052548,45827.9957,2936.24,3432.2188,2002051801001,555.21,3491.45,1
75.756311,-44.052067,45828.0936,2936.05,3432.2490,2002051801001,555.25,3491.30,1
75.756247,-44.051585,45828.1914,2935.86,3432.2793,2002051801001,555.29,3491.14,1
75.756184,-44.051104,45828.2893,2935.68,3432.3097,2002051801001,555.32,3490.99,1
75.756121,-44.050622,45828.3871,2935.52,3432.3400,2002051801001,555.35,3490.87,1
75.756058,-44.050141,45828.4850,2935.40,3432.3703,2002051801001,555.38,3490.78,1
75.755995,-44.049659,45828.5829,2935.35,3432.3971,2002051801001,555.39,3490.74,1
75.755932,-44.049178,45828.6808,2935.34,3432.4231,2002051801001,555.42,3490.76,1
75.755868,-44.048696,45828.7788,2935.35,3432.4492,2002051801001,555.45,3490.80,1
75.755805,-44.048214,45828.8767,2935.36,3432.4752,2002051801001,555.48,3490.84,1
75.755742,-44.047733,45828.9747,2935.38,3432.5013,2002051801001,555.50,3490.88,1
75.755679,-44.047251,45829.0726,2935.40,3432.5259,2002051801001,555.53,3490.93,1
75.755616,-44.046769,45829.1705,2935.42,3432.5499,2002051801001,555.56,3490.98,1
75.755553,-44.046287,45829.2684,2935.46,3432.5740,2002051801001,555.57,3491.04,1
75.755490,-44.045806,45829.3663,2935.50,3432.5981,2002051801001,555.60,3491.10,1
75.755427,-44.045324,45829.4643,2935.55,3432.6222,2002051801001,555.62,3491.16,1
75.755364,-44.044842,45829.5622,2935.59,3432.6488,2002051801001,555.65,3491.24,1
75.755301,-44.044360,45829.6601,2935.68,3432.6768,2002051801001,555.68,3491.36,1
75.755238,-44.043879,45829.7581,2936.01,3432.7048,2002051801001,555.71,3491.71,1
75.755175,-44.043397,45829.8560,2936.57,3432.7328,2002051801001,555.74,3492.31,1
75.755112,-44.042915,45829.9540,2937.32,3432.7608,2002051801001,555.77,3493.09,1
75.755049,-44.042434,45830.0519,2938.21,3432.7896,2002051801001,555.80,3494.00,1
