Latitude,Longitude,Time,Thick,Elevation,Frame,Surface,Bottom,Quality,Date
69.4722,-42.3054,56977.15,2647.64,3417.126,2.01E+12,756.98,3404.61,2,7/2/2008
69.47221,-42.3061,56977.48,2643.5,3417.148,2.01E+12,756.98,3400.48,2,7/2/2008
69.47222,-42.3069,56977.81,2639.37,3417.179,2.01E+12,756.98,3396.34,2,7/2/2008
69.47223,-42.3077,56978.14,2639.28,3417.215,2.01E+12,756.98,3396.26,2,7/2/2008
69.47224,-42.3084,56978.48,2639.28,3417.255,2.01E+12,756.98,3396.26,2,7/2/2008
69.1091,-42.3324,56079.65,2812.55,3396.301,2.01E+12,779.46,3592.01,1,7/6/2008
69.10937,-42.3324,56080.04,2823.82,3396.265,2.01E+12,779.46,3603.28,1,7/6/2008
69.10963,-42.3324,56080.43,2834.46,3396.23,2.01E+12,779.46,3613.92,1,7/6/2008
69.1099,-42.3323,56080.82,2842.35,3396.199,2.01E+12,779.46,3621.81,1,7/6/2008
69.11017,-42.3323,56081.21,2850.23,3396.176,2.01E+12,779.46,3629.69,1,7/6/2008
69.40353,-49.6973,69762.13,690.86,1546.486,2.01E+12,700,1390.86,2,7/10/2008
69.4038,-49.6974,69762.53,694.96,1547.081,2.01E+12,700.58,1395.54,2,7/10/2008
69.40407,-49.6974,69762.93,700.55,1547.679,2.01E+12,704.41,1404.96,2,7/10/2008
69.40433,-49.6975,69763.33,715.25,1548.274,2.01E+12,704.99,1420.24,2,7/10/2008
69.4046,-49.6976,69763.74,720.54,1548.866,2.01E+12,704.99,1425.53,2,7/10/2008
69.43756,-49.7051,69813.09,796.69,1593.512,2.01E+12,685.59,1482.28,2,7/10/2008
69.43783,-49.7051,69813.5,684.13,1594.428,2.01E+12,689.42,1373.54,2,7/10/2008
69.4381,-49.7052,69813.91,664.87,1595.313,2.01E+12,690,1354.87,2,7/10/2008
69.43837,-49.7052,69814.32,664.54,1596.173,2.01E+12,690,1354.54,2,7/10/2008
69.43863,-49.7053,69814.73,650.09,1596.994,2.01E+12,690,1340.09,2,7/10/2008
69.190228,-50.077883,44947.3279,0,330.5683,2.01E+12,297.2,297.2,1,3/31/2009
69.190207,-50.077702,44947.5878,0,329.9463,2.01E+12,296.52,296.52,1,3/31/2009
69.142504,-49.004184,45821.5946,2249.46,939.3298,2.01E+12,94.43,2343.9,1,3/31/2009
69.142597,-49.003909,45821.8553,2252.06,939.9644,2.01E+12,94.43,2346.49,1,3/31/2009
69.192746,-48.64824,46091.9524,2080.94,1207.564,2.01E+12,102.96,2183.89,1,3/31/2009
69.192755,-48.648052,46092.2143,2081.27,1207.7557,2.01E+12,101.93,2183.2,1,3/31/2009
69.21235,-48.129165,46479.3083,2478.69,1491.821,2.01E+12,112.29,2590.98,1,3/31/2009
69.212367,-48.128789,46479.6021,2475.21,1491.7477,2.01E+12,112.29,2587.5,1,3/31/2009
69.202452,-48.388002,47421.2867,2088.33,1358.8988,2.01E+12,102.29,2190.62,1,3/31/2009
69.202417,-48.388362,47421.5138,2089.27,1358.768,2.01E+12,102.29,2191.56,1,3/31/2009
69.219252,-47.824023,49978.3801,2277.72,1645.4197,2.01E+12,124.48,2402.2,1,3/31/2009
69.219254,-47.823644,49978.623,2277.47,1645.9312,2.01E+12,124.93,2402.4,1,3/31/2009
69.129619,-49.013823,51208.7908,1534.35,808.7674,2.01E+12,7.33,1541.68,1,3/31/2009
69.129547,-49.014139,51209.0407,1536.22,808.412,2.01E+12,7.33,1543.55,1,3/31/2009
69.237226,-49.813774,53108.3999,33.79,324.0534,2.01E+12,92.29,126.08,1,3/31/2009
69.237192,-49.814143,53108.6231,33.02,324.1419,2.01E+12,92.29,125.31,1,3/31/2009
